ぐん,gừng,ngừng,,,,,,,,,
ごん,gom,gồm,gông,girl,gợn,,,,,,
さん,sang,sáng,săn,sắn,xăm,xanh,,,,,
しん,xin,xịn,sim,xinh,sinh,,,,,,
すん,sưng,súng,sướng,xứng,xuân,,,,,,
ずん,giun,run,rung,rụng,giường,rướn,,,,,
そん,sơn,sống,xong,xóm,sóng,xoong,,,,,
ぞん,rống,dồn,dọn,rồng,giống,dòm,giòn,,,,
ちん,chim,chín,chìm,chỉnh,trình,,,,,,
つん,sưng,chung,sướng,tung,trúng,súng,túm,,,,
とん,tóm,tốn,tồn,tôm,tông,tống,,,,,
どん,đồn,đón,đong,đống,đốm,,,,,,
にん,lính,nịnh,ninh,nín,liếm,,,,,,
ぬん,lươn,lượn,lưng,luôn,luồn,lượm,,,,,
のん,lớn,lợn,nóng,lông,lộn,lồng,nôn,,,,
びん,pin,bỉm,biển,biến,,,,,,,
ぶん,bung,buon,bùn,bún,,,,,,,
ぷん,bún,búng,bưng,bụng,buôn,bùn,,,,,
きん,kim,kín,kính,kiện,kinh,,,,,,
ほん,hôn,hồn,hơn,hóng,hôm,hồng,hỗn,,,,
ぼん,bốn,bón,bọn,bóng,bỗng,bơm,bom,bong,,,
みん,mìn,mịn,mình,mỉm,,,,,,,
むん,mừng,mụn,mủng,muốn,,,,,,,
もん,mồm,mớm,mong,mông,mòn,món,móm,,,,
わん,quăng,quấn,quán,quanh,quần,quặn,quáng,,,,
かん,can,cạn,cắn,cần,cân,càng,cảng,cấm,cam,cầm,
まん,mang,mắng,măng,mặn,mắm,mâm,mạnh,mảnh,,,
さい,sai,sài,xay,xoay,xoáy,xoài,say,,,,
ずい,dưới,rưới,ruồi,dùi,,,,,,,
すず,sử dụng,sư rủ,xúi giục,sửa giùm,xuống rủ,xuống dự,sữa dừa,xúc rùi,,,
はい,hai,hái,hài,hãi,hay,hãy,,,,,
あっ,ập,ấp,áp,ắt,oách, ặc,,,,,
いっ,ị,ý,ít,y,in,im,,,,,
うっ,ức,ực,úp,ụp,út,ủ,,,,,
えっ,ẹp,ép,ếch,ế,yên,,,,,,
おっ,ọc,ốc,óc,ốp,ớt,ô,ở,ợ,,,
かっ,cạ,quạt,quật,quát,cắt,cất,cát,các,,,
がっ,gạt,gặp,gật,gạch,gấp,gập,gác,,,,
きっ,kịp,ký,kích,kịch,khích,khít,,,,,
ぎっ,ghi,nghịch,nghị,nghiệp,,,,,,,
くっ,cụt,cút,cực,cụp,cục,,,,,,
ぐっ,gục,gụ,gút,,,,,,,,
けっ,kẹp,kết,ké,kẻ,kể,kê,kệ,,,,
げっ,ghẹ,ghét,ghép,ghé,ghế,ghệ,,,,,
こっ,cột,cọp,cóc,cọc,có,cố,,,,,
ごっ,gọt,gót,góp,gộp,góc,gốc,gõ,gỡ,,,
さっ,sạc,sặc,sạch,sập,xách,sách,xác,sát,,,
ざっ,giặt,giật,dập,rạch,dạt,rách,rất,rắc,,,
しっ,xịt,ship,xích,sịp,suýt,xịn,sim,,,,
じっ,dịch,dịp,dí,giết,diệt,,,,,,
すっ,sút,sụp,sức,xúc,suýt,sức,sụt,xước,suốt,,
ずっ,giựt,giục,giúp,rút,dù,,,,,,
せっ,xẹp,xếp,xét,xẻ,xé,,,,,,
ぜっ,dẹp,dệt,diệt,rết,rét,dê,,,,,
そっ,sọt,sốc,xộc,sọc,sợ,,,,,,
ぞっ,rọc,dột,giọt,giọ,rớt,dốc,dóc,do,gió,,
たっ,tạt,tập,tát,tắt,tách,tạch,tạ,,,,
だっ,đạp,đập,đặt,đa,đang,đan,,,,,
ちっ,chị,chi,chịu,trích,,,,,,,
ぢっ,dịch,diệt,dịp,dí,gì,,,,,,
つっ,trượt,chụp,trực,chút,tụt,sụt,xúc,,,,
づっ,giục,giựt,giúp,dụ,rủ,,,,,,
てっ,tiệc,tệp,Tết,tép,tiếp,thét,tiếc,,,,
でっ,đẹp,đè,để,,,,,,,,
とっ,tọt,tộc,tóc,tốt,thóc,thợ,thớt,,,,
どっ,đọ,đọc,độc,đốt,đớp,đố,,,,,
なっ,nạp,lật,lập,lặp,lấp,nát,lắc,lách,,,
にっ,nịt,lịch,lít,ly,lính,,,,,,
ぬっ,lụt,lục,lúc,lướt,lượt,núp,,,,,
ねっ,nẹp,lệch,liệt,nép,lết,,,,,,
のっ,lột,lợp,lọc,nộp,lót,lớp,lo,nó,,,
はっ,hạt,hấp,hoặc,hạ,hất,hật,,,,,
ばっ,bạc,bật,bắt,bác,,,,,,,
ひっ,hủy,hít,huýt,Huy,,,,,,,
びっ,bịp,bịt,bịch,bít,biết,,,,,,
ぴっ,bịp,bịt,bịch,phịt,bít,biết,,,,,.
ふっ,hụt,hút,húc,phụt,hư,hú,,,,,
ぶっ,bực,bụt,bụp,bút,bức,,,,,,
ぷっ,bực,bụt,bụp,bút,bức,,,,,,
へっ,hẹp,hết,hét,hé,,,,,,,
べっ,bẹp,bếp,biết,phét,phép,,,,,,
ぺっ,bẹp,bếp,biết,phét,phép,,,,,,
ほっ,họp,học,hợp,hộp,hót,hóc,,,,,
ぼっ,bọt,bột,bọc,bớt,bóc,bố,,,,,
まっ,mặt,mặc,mập,mạch,mất,mách,má,,,,
みっ,mít,mic,mịn,mì,,,,,,,
むっ,mực,mục,mút,múc,mửa,,,,,,
めっ,mệt,mép,mẹt,mẹ,mé,,,,,,
もっ,mọc,một,mọt,móc,mốc,,,,,,
めず,mẹ ru,mẹ giúp,mê rùi,mẹ giục,mệt rùi,mẹ rủ,mày dựa, mép dù,,,
まず,má rủ,má giữ,má dự,má giúp,má giục,mất rùi,mặc rùi,may dù,mai giúp,mất rùa,
ぜず,dễ dụ,giẫy dụa,dây dù,dễ rùi,dễ dựa,rẻ dữ,rên rùi,rét run,dẹp rùi,,
けず,kê rượu,kẻ giữ,kẻ giúp,kể rùi,kê giúp,kẹt rùi,kẹp dù,cây dừa,cây dựa,,
げず,ghệ rủ,ghế dựa,ghẻ rùi,ghệ giúp,ghệ giục,ghen rùi,ghét rùi,ghép dù,,,
かく,các  cụ,cá cược,cắt cửa,cất của,quát cụ,qua cửa,quá cũ,cãi cụ,cắt cụt,,
わっ,quạt,gạt,quát, quặp, quật,,,,,,
ぞい,rồi,giỏi,dỗi,dọi,rối,ròi,,,,,
あん,ăn,ấn,ẩn,ám,ấm,ẵm,anh,,,,
がん,gàn,gạn,gần,gắn,gánh,gầm,gắng,,,,
ざん,rang,dáng,giảng,dạng,rảnh,dẵm,rắn,dân,,,
たん,tan,tán,tàn,tắm,tẩm,than,thăm,,,,
だん,đan,đàn,đâm,đấm,đành,đánh,,,,,
なん,làm,lan,lặn,lăn,lấn,làng,lạnh,nàng,,,
はん,hàn,hắn,hận,ham,hăng,hành,,,,,
こい,coi,cởi,còi,,,,,,,,
がい,gãi,gái,gài,gay,gáy,gãy,,,,,
かい,cài,cai,cãi,cay,cày,cây,cậy,,,,
たい,tai,tẩy,tây,thay,thái,thải,thấy,thầy,,,
ない,lái,lai,lại,nay,lậy,loại,,,,,
まい,mai,mài,may,máy,,,,,,,
おい,ói,ôi,ổi,,,,,,,,
どい,đòi,đợi,đồi,đói,,,,,,,
わい,quay,quẩy,quậy,quấy,quai,gay,gãi,gáy,gẫy,,
ざい,dai,dài,rải,giẫy,dậy,giầy,dãy,,,,
だい,đái,đài,đãi,đây,đầy,đẩy,đáy,,,,
ばい,bay,bày,bậy,bài,,,,,,,
ぱい,bai,bay,phai,phay,,,,,,,
えず,em dự,em rủ,ế rùi,em giúp,ép rùi,em giữ,êm ru,em rùi, em giục, ép dừa,
ぱん,bán,bàn,bẩn,bắn,băng,phán,phân,,,,
ばん,bán,bàn,bẩn,bắn,băng,phán,phân,,,,
あい,ai,oải,oai,anh,,,,,,,
もい,môi,mỗi,mời,mới,,,,,,,
すい,xúi,suối,xuôi,xưa,sửa,suy,,,,,
でぃ,đi,đinh,điên,điêu,,,,,,,
ふぁ,phá,pha,phái,phải,phạt,,,,,,
ふぃ,phi,phí,phì,phim,phích,,,,,,
ぼい,bôi,bơi,bói,bới,,,,,,,
です,đến sửa,để xuống,đẹp xỉu,đem sửa,đem sữa,đêm xưa,đến xúc,,,,
ぬい,núi,lùi,nuôi,lười,lưới,lưỡi,,,,,
てき,thế kia,té kịp,tên kia,tẩy kỹ,tay ký,tiêm kích,,,,,
あ,ai,ăn,ấn,ẩn,ác,,,,,,
い,y,ý,ị,ít,in,im,,,,,
う,ủ,ú,ùn,ủn,uống,úp,ức,ưng,úng,ướm,
え,ế,em,ép,ếch,,,,,,,
お,ở,ớt,ốp,ôm,ốm,ông,,,,,
か,cá,cạ,cắt,cất,cạp,cãi,cặp,cai,cát,quá,
が,gã,gả,gạ,gặp,gấp,gập,gà,,,,
き,ký,kỹ,kỵ,kính,kích,kịp,kim,kịch,,,
ぎ,ghi,ghì,ghim,nghĩ,nghỉ,nghi,,,,,
く,cụ,củ,cũ,cú,cứ,cút,cược,cụt,cứu,của,
ぐ,gù,gụ,gục,gừng,ngu,,,,,,
け,kẻ,kể,kê,kệ,kẹt,kết,cây,kiếp,,,
げ,ghệ,ghẻ,ghen,ghế,ghét,ghép,ghê,ghè,,,
こ,có,cọ,cò,cô,cố,cỗ,cóc,cọc,con,cơm,cong
ご,gõ,gỗ,gò,gỡ,gờ,gọt,góp,gộp,gọi,,
さ,xa,xả,xoa,xóa,sao,xào,sai,sát,sập,sắp,sang
ざ,ra,già,giã,giả,da,dài,dai,rất,dắt,giặt,
し,xịt,ship,xích,sịp,suýt,xịn,sinh,sỹ,suy,,
じ,dí,rỉ,dìm,gì,dịp,rùi,giết,dính,rình,,
す,sư,xử,sút,sụt,xúc,xua,sủa,xuống,sữa,,
ず,rủ,giữ,dự,dù,dụ,dựa,giúp,rút,giục,rùi,rìu
せ,xe,xé,xẻ,xếp,xem,xây,say,,,,
ぜ,dê,dễ,rẻ,rể,rè,rên,rét,dẹp,dép,,
そ,sợ,sờ,xô,xót,sốc,shop,search,xong,,,
ぞ,giò,giơ,gió,giỏ,rồi,zồ,dột,rót,dốc,dọc,rớt
た,ta,tả,tát,tắt,tập,,,,,,
だ,đá,đã,đập,đáp,đất,đắt,đái,đắp,,,
ち,chị,chỉ,trị,chia,trích,,,,,,
つ,chưa,sửa,xưa,chú,tụ,tù,từ,trượt,chút,chụp,sư
て,té,tè,tệ,tên,tây,tẩy,tay,tiền,thề,thẻ,
で,đe,đẹp,đem,đến,,,,,,,
と,tô,to,tổ,tới,tối,tốt,tồi,tóc,,,
ど,đo,đổ,đố,đỗ,đốt,đón,đồn,đong,đỏ,,
な,là,lá,làm,lạ,lắc,lấp,lật,lái,lao,loa,
に,ly,lính,nịnh,nín,lịm,liếm,,,,,
ぬ,nu,lu,nút,lụt,lúc,núp,lua,nưa,,,
ね,lê,né,nể,lết,lép,lén,lây,,,,
の,nó,lo,nổ,nợ,nở,lỡ,lốc,lót,lột,lớp,
は,há,hạ,hát,hạt,hai,hái,hất,hấp,hay,hoa,
ば,ba,bắt,bắp,bật,bay,bao,bai,,,,
ひ,hít,huýt,huỷ,khi,Huy,,,,,,
び,bị,bít,bịp,bỉm,bịa,bia,buýt,,,,
ふ,hứa,húp,hụt,hù,hư,hút,hũ,phủ,phụ,phun,
ぶ,bú,bực,bụt,bút,bức,buồn,buôn,bửa,búa,,
へ,hết,hẹn,hét,hẹp,hèn,hến,hẻm,hé,hên,,
べ,be,bếp,biết,bay,ben,,,,,,
ほ,họ,hộ,ho,hô,hỏi,họp,học,hóc,hợp,hôn,hò
ぼ,bó,bỏ,bò,bố,bổ,bóc,bọc,bột,bốc,bớt,
ま,má,mạ,mất,mặt,mặc,may,mai,,,,
み,mi,mít,mìn,mía,mình,miếng,,,,,
む,mù,mụ,mửa,mưa,mua,muốn,mút,múc,múa,,
め,mê,mẹ,mé,mệt,mây,mấy,mẩy,mềm,men,,
も,mơ,mở,mổ,mộ,mò,mồm,một,móc,,,
わ,qua,quát,quạt,quăng,quanh,quấn,quà,,,,
り,rỉ,dí,gì,dìm,rình,rùi,giết,dính,,,
